Korpus;Frequency;Presentase Kemunculan;
dinasti;8561;0,019660012;
si;8560;0,019657716;
aku;8547;0,019627862;
with;8533;0,019595712;
tuhan;8526;0,019579636;
jenderal;8508;0,0195383;
jl;8505;0,019531411;
garis;8500;0,019519928;
dipakai;8495;0,019508446;
miss;8485;0,019485481;
usia;8477;0,01946711;
hati;8460;0,01942807;
perangkat;8455;0,019416587;
ayahnya;8442;0,019386733;
awalnya;8410;0,019313247;
asli;8405;0,019301764;
menulis;8390;0,019267317;
school;8390;0,019267317;
unit;8372;0,019225981;
milik;8371;0,019223685;
huruf;8368;0,019216795;
lingkungan;8352;0,019180052;
tua;8343;0,019159384;
paris;8340;0,019152494;
romawi;8317;0,019099676;
surabaya;8314;0,019092786;
mesir;8295;0,019049154;
membantu;8282;0,0190193;
selanjutnya;8270;0,018991742;
kuno;8256;0,018959591;
st;8233;0,018906773;
pertanian;8232;0,018904476;
judul;8232;0,018904476;
kaum;8218;0,018872326;
diketahui;8218;0,018872326;
awards;8218;0,018872326;
prix;8209;0,018851658;
sekali;8193;0,018814914;
kekuasaan;8187;0,018801136;
belajar;8170;0,018762096;
ikan;8168;0,018757503;
national;8145;0,018704684;
kimia;8139;0,018690905;
ahli;8126;0,018661051;
south;8110;0,018624308;
meter;8103;0,018608233;
papua;8095;0,018589861;
keluar;8061;0,018511781;
gaya;8054;0,018495706;
uang;8053;0,01849341;
gubernur;8043;0,018470445;
yesus;8020;0,018417626;
w;8014;0,018403848;
mengatakan;8010;0,018394662;
g;8003;0,018378587;
diberi;7997;0,018364808;
berubah;7982;0,018330361;
kampung;7980;0,018325768;
david;7977;0,018318879;
pergi;7972;0,018307396;
sempat;7954;0,01826606;
divisi;7952;0,018261467;
mantan;7947;0,018249985;
warga;7947;0,018249985;
alkitab;7931;0,018213241;
jabatan;7928;0,018206352;
from;7899;0,018139755;
super;7898;0,018137458;
per;7896;0,018132865;
struktur;7894;0,018128272;
perjalanan;7886;0,018109901;
berkembang;7880;0,018096122;
bandara;7865;0,018061675;
bila;7853;0,018034117;
le;7837;0,017997374;
bali;7790;0,01788944;
menengah;7785;0,017877958;
james;7781;0,017868772;
filipina;7760;0,017820546;
rendah;7754;0,017806767;
menjabat;7719;0,017726391;
kisah;7706;0,017696537;
peran;7677;0,01762994;
pengguna;7675;0,017625347;
united;7674;0,017623051;
berwarna;7668;0,017609272;
menikah;7667;0,017606975;
tiba;7651;0,017570232;
daripada;7639;0,017542674;
